FamilySize,IsAlone,Title,Survived
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,1
1.0,1,Unknown,0
1.0,1,Unknown,0
1.0,1,Unknown,0
